chr	start	end	leaf	fruit
chr	start	end	mid	leaf	fruit	mean_RPKM	max_RPKM	geneN
Chr01A	0	30000	15000	0	0	0	0	0
Chr01A	30000	60000	45000	0	0	0	0	0
Chr01A	60000	90000	75000	0	0	0	0	0
Chr01A	90000	120000	105000	0	0	0	0	0
Chr01A	120000	150000	135000	0	0	0	0	0
Chr01A	150000	180000	165000	0	0	0	0	0
Chr01A	180000	210000	195000	0	0	0	0	0
Chr01A	210000	240000	225000	0	0	0	0	0
Chr01A	240000	270000	255000	2.15032366666667	2.63726133333333	2.3937925	2.63726133333333	3
Chr01A	270000	3e+05	285000	0	0	0	0	0
Chr01A	3e+05	330000	315000	3.749343	3.89475	3.8220465	3.89475	2
Chr01A	330000	360000	345000	0	0	0	0	1
Chr01A	360000	390000	375000	0	0	0	0	0
Chr01A	390000	420000	405000	0	0	0	0	1
Chr01A	420000	450000	435000	0	0	0	0	0
Chr01A	450000	480000	465000	0	0	0	0	0
Chr01A	480000	510000	495000	0	0	0	0	0
Chr01A	510000	540000	525000	0	0	0	0	0
Chr01A	540000	570000	555000	0	0	0	0	0
Chr01A	570000	6e+05	585000	0	0	0	0	0
Chr01A	6e+05	630000	615000	0	0	0	0	0
Chr01A	630000	660000	645000	1.259987	1.667058	1.4635225	1.667058	1
Chr01A	660000	690000	675000	0	0	0	0	0
Chr01A	690000	720000	705000	0	0	0	0	0
Chr01A	720000	750000	735000	2.3274805	3.4806025	2.9040415	3.4806025	4
Chr01A	750000	780000	765000	0	0	0	0	0
Chr01A	780000	810000	795000	0	0	0	0	0
Chr01A	810000	840000	825000	0	0	0	0	0
Chr01A	840000	870000	855000	12.980998	15.980533	14.4807655	15.980533	1
Chr01A	870000	9e+05	885000	0	0	0	0	0
Chr01A	9e+05	930000	915000	0	0	0	0	0
Chr01A	930000	960000	945000	0	0	0	0	0
Chr01A	960000	990000	975000	8.9253695	7.5398875	8.2326285	8.9253695	2
Chr01A	990000	1020000	1005000	0	0	0	0	0
Chr01A	1020000	1050000	1035000	0	0	0	0	0
Chr01A	1050000	1080000	1065000	15.747123	37.5239	26.6355115	37.5239	1
Chr01A	1080000	1110000	1095000	0	0	0	0	0
Chr01A	1110000	1140000	1125000	0	0	0	0	0
Chr01A	1140000	1170000	1155000	1.416074	5.991209	3.7036415	5.991209	1
Chr01A	1170000	1200000	1185000	0.7386155	2.526526	1.63257075	2.526526	2
Chr01A	1200000	1230000	1215000	10.035265	18.495357	14.265311	18.495357	1
Chr01A	1230000	1260000	1245000	0	0	0	0	0
Chr01A	1260000	1290000	1275000	21.041735	26.783135	23.912435	26.783135	1
Chr01A	1290000	1320000	1305000	7.526037	8.099495	7.812766	8.099495	1
Chr01A	1320000	1350000	1335000	0	0	0	0	0
Chr01A	1350000	1380000	1365000	0	0	0	0	0
Chr01A	1380000	1410000	1395000	0	0	0	0	0
Chr01A	1410000	1440000	1425000	27.597261	8.159409	17.878335	27.597261	1
Chr01A	1440000	1470000	1455000	0	0	0	0	0
Chr01A	1470000	1500000	1485000	0	0	0	0	0
Chr01A	1500000	1530000	1515000	0	0	0	0	0
Chr01A	1530000	1560000	1545000	3.242806	0.433835	1.8383205	3.242806	1
Chr01A	1560000	1590000	1575000	0	0	0	0	0
Chr01A	1590000	1620000	1605000	0	0	0	0	0
Chr01A	1620000	1650000	1635000	0	0	0	0	0
Chr01A	1650000	1680000	1665000	0	0.2379255	0.11896275	0.2379255	2
Chr01A	1680000	1710000	1695000	11.238839	9.219717	10.229278	11.238839	1
Chr01A	1710000	1740000	1725000	3.495819	2.146595	2.821207	3.495819	1
Chr01A	1740000	1770000	1755000	10.2746055	4.63409	7.45434775	11.7821755	2
Chr01A	1770000	1800000	1785000	0	0	0	0	0
Chr01A	1800000	1830000	1815000	0	0	0	0	0
Chr01A	1830000	1860000	1845000	15.102075	7.728549	11.415312	15.102075	1
Chr01A	1860000	1890000	1875000	0	0	0	0	0
Chr01A	1890000	1920000	1905000	0	0	0	0	0
Chr01A	1920000	1950000	1935000	0	0	0	0	0
Chr01A	1950000	1980000	1965000	0	0	0	0	0
Chr01A	1980000	2010000	1995000	0	0	0	0	0
Chr01A	2010000	2040000	2025000	0	0	0	0	0
Chr01A	2040000	2070000	2055000	0	0	0	0	0
Chr01A	2070000	2100000	2085000	0	0	0	0	0
Chr01A	2100000	2130000	2115000	0	0	0	0	0
Chr01A	2130000	2160000	2145000	0	0	0	0	0
Chr01A	2160000	2190000	2175000	6.681563	7.270189	6.975876	7.270189	1
Chr01A	2190000	2220000	2205000	0	0	0	0	0
Chr01A	2220000	2250000	2235000	0	0	0	0	0
Chr01A	2250000	2280000	2265000	0	0	0	0	0
Chr01A	2280000	2310000	2295000	0.981404	2.721505	1.8514545	2.721505	1
Chr01A	2310000	2340000	2325000	0	0	0	0	0
Chr01A	2340000	2370000	2355000	0	0	0	0	0
Chr01A	2370000	2400000	2385000	0	0	0	0	0
Chr01A	2400000	2430000	2415000	1.636604	1.343091	1.4898475	1.636604	1
Chr01A	2430000	2460000	2445000	0	0	0	0	1
Chr01A	2460000	2490000	2475000	0	0	0	0	0
Chr01A	2490000	2520000	2505000	0	0	0	0	0
Chr01A	2520000	2550000	2535000	0	0	0	0	0
Chr01A	2550000	2580000	2565000	0	0	0	0	1
Chr01A	2580000	2610000	2595000	0	0	0	0	0
Chr01A	2610000	2640000	2625000	0	0	0	0	0
Chr01A	2640000	2670000	2655000	0	0	0	0	1
Chr01A	2670000	2700000	2685000	0	0	0	0	0
Chr01A	2700000	2730000	2715000	13.817897	7.186184	10.5020405	13.817897	1
Chr01A	2730000	2760000	2745000	0	0	0	0	0
Chr01A	2760000	2790000	2775000	0	0	0	0	0
Chr01A	2790000	2820000	2805000	19.143715	46.548222	32.8459685	46.548222	1
Chr01A	2820000	2850000	2835000	0	0	0	0	0
Chr01A	2850000	2880000	2865000	0	0	0	0	0
Chr01A	2880000	2910000	2895000	0	0	0	0	0
Chr01A	2910000	2940000	2925000	0	0	0	0	0
Chr01A	2940000	2970000	2955000	3.911539	6.267298	5.0894185	6.267298	1
Chr01A	2970000	3e+06	2985000	0	0	0	0	0
Chr01A	3e+06	3030000	3015000	0	0	0	0	0
Chr01A	3030000	3060000	3045000	0.294557	0.016562	0.1555595	0.294557	1
Chr01A	3060000	3090000	3075000	0	0	0	0	0
Chr01A	3090000	3120000	3105000	25.327932	38.62128	31.974606	38.62128	1
Chr01A	3120000	3150000	3135000	0	0	0	0	0
Chr01A	3150000	3180000	3165000	0	0	0	0	0
Chr01A	3180000	3210000	3195000	6.9725525	8.396806	7.68467925	8.396806	2
Chr01A	3210000	3240000	3225000	0	0	0	0	0
Chr01A	3240000	3270000	3255000	0	0	0	0	0
Chr01A	3270000	3300000	3285000	9.341533	2.6793445	6.01043875	9.341533	2
Chr01A	3300000	3330000	3315000	0	0	0	0	0
Chr01A	3330000	3360000	3345000	0	0	0	0	0
Chr01A	3360000	3390000	3375000	25.490707	30.091876	27.7912915	30.091876	1
Chr01A	3390000	3420000	3405000	0	0	0	0	0
Chr01A	3420000	3450000	3435000	0	0	0	0	0
Chr01A	3450000	3480000	3465000	0	0	0	0	0
Chr01A	3480000	3510000	3495000	0	0	0	0	0
Chr01A	3510000	3540000	3525000	0	0	0	0	0
Chr01A	3540000	3570000	3555000	0	0	0	0	0
Chr01A	3570000	3600000	3585000	0	0	0	0	0
Chr01A	3600000	3630000	3615000	0	0	0	0	0
Chr01A	3630000	3660000	3645000	0	0	0	0	0
Chr01A	3660000	3690000	3675000	0	0	0	0	0
Chr01A	3690000	3720000	3705000	0	0	0	0	0
Chr01A	3720000	3750000	3735000	0	0	0	0	0
Chr01A	3750000	3780000	3765000	0	0	0	0	0
Chr01A	3780000	3810000	3795000	0	0	0	0	0
Chr01A	3810000	3840000	3825000	0	0	0	0	0
Chr01A	3840000	3870000	3855000	0	0	0	0	0
Chr01A	3870000	3900000	3885000	0	0	0	0	0
Chr01A	3900000	3930000	3915000	0	0	0	0	0
Chr01A	3930000	3960000	3945000	0	0	0	0	0
Chr01A	3960000	3990000	3975000	0	0	0	0	0
Chr01A	3990000	4020000	4005000	0	0	0	0	0
Chr01A	4020000	4050000	4035000	0	0	0	0	0
Chr01A	4050000	4080000	4065000	0	0	0	0	0
Chr01A	4080000	4110000	4095000	0	0	0	0	0
Chr01A	4110000	4140000	4125000	0	0	0	0	0
Chr01A	4140000	4170000	4155000	0	0	0	0	0
Chr01A	4170000	4200000	4185000	0	0	0	0	0
Chr01A	4200000	4230000	4215000	0	0	0	0	0
Chr01A	4230000	4260000	4245000	0	0	0	0	0
Chr01A	4260000	4290000	4275000	0	0	0	0	0
Chr01A	4290000	4320000	4305000	0	0	0	0	0
Chr01A	4320000	4350000	4335000	0	0	0	0	0
Chr01A	4350000	4380000	4365000	0	0	0	0	0
Chr01A	4380000	4410000	4395000	0	0	0	0	0
Chr01A	4410000	4440000	4425000	0	0	0	0	0
Chr01A	4440000	4470000	4455000	0	0	0	0	0
Chr01A	4470000	4500000	4485000	0	0	0	0	0
Chr01A	4500000	4530000	4515000	0	0	0	0	0
Chr01A	4530000	4560000	4545000	0	0	0	0	0
Chr01A	4560000	4590000	4575000	0	0	0	0	0
Chr01A	4590000	4620000	4605000	0	0	0	0	0
Chr01A	4620000	4650000	4635000	0	0	0	0	0
Chr01A	4650000	4680000	4665000	0	0	0	0	0
Chr01A	4680000	4710000	4695000	0	0	0	0	0
Chr01A	4710000	4740000	4725000	0	0	0	0	0
Chr01A	4740000	4770000	4755000	0	0.0118955	0.00594775	0.0118955	2
Chr01A	4770000	4800000	4785000	0	0	0	0	0
Chr01A	4800000	4830000	4815000	0	0	0	0	0
Chr01A	4830000	4860000	4845000	0	0	0	0	0
Chr01A	4860000	4890000	4875000	0	0	0	0	0
Chr01A	4890000	4920000	4905000	0	0	0	0	0
Chr01A	4920000	4950000	4935000	0	0	0	0	0
Chr01A	4950000	4980000	4965000	41.102844	41.265006	41.183925	41.265006	1
Chr01A	4980000	5010000	4995000	0.439248	0.230131	0.3346895	0.439248	1
Chr01A	5010000	5040000	5025000	0	0	0	0	1
Chr01A	5040000	5070000	5055000	0	0	0	0	0
Chr01A	5070000	5100000	5085000	0	0	0	0	0
Chr01A	5100000	5130000	5115000	33.8017875	18.3706945	26.086241	36.2902865	2
Chr01A	5130000	5160000	5145000	0	0	0	0	0
Chr01A	5160000	5190000	5175000	499.934458	75.597086	287.765772	499.934458	2
Chr01A	5190000	5220000	5205000	0.820636	1.342064	1.08135	1.342064	1
Chr01A	5220000	5250000	5235000	0	0	0	0	0
Chr01A	5250000	5280000	5265000	0	0	0	0	0
Chr01A	5280000	5310000	5295000	0	0	0	0	0
Chr01A	5310000	5340000	5325000	0	0	0	0	0
Chr01A	5340000	5370000	5355000	37.269677	7.522105	22.395891	37.269677	2
Chr01A	5370000	5400000	5385000	0	0	0	0	0
Chr01A	5400000	5430000	5415000	0	0	0	0	0
Chr01A	5430000	5460000	5445000	0	0	0	0	0
Chr01A	5460000	5490000	5475000	0	0	0	0	0
Chr01A	5490000	5520000	5505000	0	0	0	0	0
Chr01A	5520000	5550000	5535000	1.77944675	1.868714	1.824080375	1.9111745	4
